user_id,gender,age_group,country,profession,education_level,tech_experience_level,ai_tool_primary,purpose_of_ai_use,hours_spent_per_day_on_ai,frequency_of_use_weekly,months_using_ai,task_complexity_level,verification_frequency,confidence_in_ai_outputs,critical_thinking_self_rating,privacy_awareness_level,shares_personal_info_with_ai,reads_ai_related_news,critical_thinking_risk_score,ai_overdependence_risk,incorrect_info_risk_score,privacy_concern_level
USER_00001,Male,26-35,USA,Software Developer,Bachelor Degree,Advanced,ChatGPT,Work Tasks,5.23,Daily,18,Complex,Often,8,7,6,Sometimes,Often,4.2,7.1,5.8,6.3
USER_00002,Female,18-25,Canada,Student,Some College,Intermediate,Claude,Learning,2.15,5-6 times/week,8,Moderate,Sometimes,6,8,9,Rarely,Sometimes,5.1,4.8,4.9,8.7
USER_00003,Male,36-45,UK,Marketing Manager,Master Degree,Intermediate,Copilot,Content Creation,3.78,Daily,14,Moderate,Always,7,9,5,Sometimes,Often,3.5,6.2,3.8,5.9
USER_00004,Female,46-55,Germany,Doctor,PhD,Beginner,ChatGPT,Research,1.92,3-4 times/week,6,Complex,Always,5,8,9,Never,Rarely,3.1,3.7,4.2,9.2
USER_00005,Non-binary,26-35,Australia,Designer,Bachelor Degree,Advanced,Midjourney,Creative Projects,4.12,Daily,22,Moderate,Often,9,6,4,Sometimes,Sometimes,4.8,6.9,5.3,4.8
USER_00006,Male,18-25,India,Student,High School,Beginner,ChatGPT,Academic Work,3.45,Daily,5,Simple,Sometimes,7,5,3,Often,Never,6.2,5.8,6.8,3.4
USER_00007,Female,35-45,France,Teacher,Master Degree,Intermediate,Grammarly,Work Tasks,2.67,5-6 times/week,12,Moderate,Often,6,8,7,Rarely,Sometimes,4.1,4.9,4.5,7.2
USER_00008,Male,55-65,Japan,Engineer,Bachelor Degree,Expert,Multiple Tools,Problem Solving,6.21,Daily,20,Very Complex,Always,4,9,8,Never,Daily,2.8,7.3,3.2,8.5
USER_00009,Female,26-35,Brazil,Content Creator,Bachelor Degree,Advanced,DALL-E,Creative Projects,5.89,Daily,16,Complex,Sometimes,8,7,5,Sometimes,Often,5.7,8.1,6.2,5.6
USER_00010,Male,36-45,Mexico,Lawyer,Master Degree,Intermediate,Claude,Research,2.34,3-4 times/week,9,Complex,Always,5,9,8,Never,Often,2.9,4.2,3.6,8.9
USER_00011,Female,18-25,South Korea,Data Scientist,Bachelor Degree,Expert,ChatGPT,Work Tasks,7.12,Daily,24,Very Complex,Often,9,8,6,Rarely,Daily,3.8,8.9,4.7,6.8
USER_00012,Male,46-55,Netherlands,Consultant,Master Degree,Advanced,Perplexity,Business Analysis,3.98,5-6 times/week,11,Complex,Sometimes,7,7,9,Sometimes,Often,4.9,6.4,5.8,9.1
USER_00013,Female,25-35,Sweden,Researcher,PhD,Advanced,Claude,Research,4.56,Daily,19,Very Complex,Always,6,9,8,Never,Daily,2.7,6.8,3.1,8.7
USER_00014,Male,18-25,Singapore,Student,Some College,Beginner,ChatGPT,Learning,2.87,Daily,7,Simple,Rarely,8,4,2,Often,Rarely,7.8,5.3,8.1,2.9
USER_00015,Female,55-65,UAE,Accountant,Professional Certification,Intermediate,Copilot,Work Tasks,1.76,3-4 times/week,4,Moderate,Often,5,6,7,Sometimes,Sometimes,4.7,3.8,4.9,7.3
USER_00016,Male,26-35,USA,Writer,Master Degree,Advanced,Jasper,Content Creation,6.43,Daily,21,Complex,Sometimes,8,8,4,Sometimes,Often,4.5,8.6,5.9,4.7
USER_00017,Female,36-45,Canada,Project Manager,Bachelor Degree,Intermediate,Notion AI,Work Tasks,3.21,5-6 times/week,13,Moderate,Often,6,7,6,Rarely,Sometimes,4.3,5.7,4.6,6.8
USER_00018,Male,46-55,UK,Sales Representative,High School,Beginner,ChatGPT,Problem Solving,2.14,3-4 times/week,8,Simple,Sometimes,7,5,5,Sometimes,Rarely,5.9,4.1,6.2,5.4
USER_00019,Female,18-25,Germany,Student,Some College,Intermediate,Claude,Academic Work,3.67,Daily,10,Moderate,Always,5,8,9,Never,Sometimes,3.2,5.9,3.8,8.9
USER_00020,Male,26-35,Australia,Entrepreneur,Bachelor Degree,Expert,Multiple Tools,Business Analysis,5.78,Daily,17,Very Complex,Often,8,9,7,Sometimes,Daily,3.9,7.8,4.8,7.2
USER_00021,Female,35-45,India,Marketing Manager,Master Degree,Advanced,Copy.ai,Content Creation,4.23,5-6 times/week,15,Complex,Sometimes,7,7,5,Sometimes,Often,5.1,6.5,5.7,5.6
USER_00022,Male,55-65,France,Doctor,PhD,Intermediate,ChatGPT,Research,1.89,1-2 times/week,3,Complex,Always,4,9,9,Never,Often,2.5,2.8,3.4,9.4
USER_00023,Female,26-35,Japan,Designer,Bachelor Degree,Advanced,Midjourney,Creative Projects,4.98,Daily,18,Moderate,Often,9,6,4,Sometimes,Sometimes,4.9,7.2,5.4,4.9
USER_00024,Male,18-25,Brazil,Student,High School,Beginner,ChatGPT,Learning,2.34,Daily,6,Simple,Rarely,8,3,2,Often,Never,8.1,4.7,8.6,2.8
USER_00025,Female,46-55,Mexico,Teacher,Master Degree,Intermediate,Grammarly,Work Tasks,2.87,3-4 times/week,11,Moderate,Always,5,8,8,Never,Sometimes,3.4,4.3,3.9,8.2
USER_00026,Male,36-45,South Korea,Engineer,Bachelor Degree,Expert,Copilot,Work Tasks,5.67,Daily,23,Very Complex,Often,7,8,6,Rarely,Daily,4.1,7.9,4.9,6.7
USER_00027,Female,25-35,Netherlands,Data Scientist,PhD,Expert,ChatGPT,Research,6.12,Daily,20,Very Complex,Always,6,9,8,Never,Daily,2.9,8.3,3.3,8.6
USER_00028,Male,55-65,Sweden,Consultant,Master Degree,Advanced,Claude,Business Analysis,3.45,5-6 times/week,12,Complex,Sometimes,6,8,9,Sometimes,Often,4.6,5.8,5.1,9.2
USER_00029,Female,18-25,Singapore,Student,Some College,Intermediate,ChatGPT,Academic Work,3.21,Daily,9,Moderate,Sometimes,7,6,4,Sometimes,Rarely,5.8,5.4,6.1,4.3
USER_00030,Male,26-35,UAE,Analyst,Bachelor Degree,Advanced,Perplexity,Research,4.78,Daily,16,Complex,Often,8,7,5,Rarely,Often,4.7,7.1,5.2,5.8
USER_00031,Female,36-45,USA,Lawyer,Master Degree,Intermediate,Claude,Research,2.56,3-4 times/week,7,Complex,Always,4,9,9,Never,Often,2.7,4.1,3.2,9.1
USER_00032,Male,46-55,Canada,Software Developer,Bachelor Degree,Expert,Copilot,Work Tasks,7.23,Daily,22,Very Complex,Often,9,8,6,Sometimes,Daily,4.2,9.1,5.6,6.9
USER_00033,Female,18-25,UK,Content Creator,Some College,Beginner,DALL-E,Creative Projects,4.34,Daily,8,Simple,Sometimes,8,4,3,Often,Sometimes,6.7,6.8,7.2,3.7
USER_00034,Male,55-65,Germany,Accountant,Professional Certification,Intermediate,ChatGPT,Work Tasks,1.98,1-2 times/week,5,Moderate,Often,5,6,8,Rarely,Rarely,4.8,3.2,4.7,8.1
USER_00035,Female,26-35,Australia,Writer,Master Degree,Advanced,Jasper,Content Creation,5.89,Daily,19,Complex,Sometimes,8,8,5,Sometimes,Often,4.8,8.2,6.1,5.4
USER_00036,Male,36-45,India,Project Manager,Bachelor Degree,Intermediate,Notion AI,Work Tasks,3.67,5-6 times/week,14,Moderate,Often,6,7,6,Sometimes,Sometimes,4.5,6.1,4.8,6.5
USER_00037,Female,25-35,France,Researcher,PhD,Expert,Claude,Research,5.12,Daily,24,Very Complex,Always,5,9,9,Never,Daily,2.4,7.4,2.8,9.3
USER_00038,Male,18-25,Japan,Student,High School,Beginner,ChatGPT,Learning,2.76,Daily,4,Simple,Rarely,9,2,1,Often,Never,9.2,4.9,9.4,1.8
USER_00039,Female,46-55,Brazil,Marketing Manager,Bachelor Degree,Intermediate,Copy.ai,Content Creation,3.98,5-6 times/week,13,Complex,Sometimes,7,6,5,Sometimes,Often,5.3,6.3,5.9,5.7
USER_00040,Male,55-65,Mexico,Doctor,Master Degree,Advanced,ChatGPT,Research,2.13,3-4 times/week,6,Complex,Always,4,8,9,Never,Sometimes,3.1,3.7,3.6,9
USER_00041,Female,26-35,South Korea,Designer,Bachelor Degree,Advanced,Midjourney,Creative Projects,4.67,Daily,17,Moderate,Often,9,7,4,Sometimes,Often,4.6,7,5.1,4.8
USER_00042,Male,36-45,Netherlands,Engineer,Master Degree,Expert,Multiple Tools,Problem Solving,6.34,Daily,21,Very Complex,Often,7,9,7,Rarely,Daily,3.7,8.4,4.2,7.4
USER_00043,Female,18-25,Sweden,Student,Some College,Intermediate,Claude,Academic Work,3.12,5-6 times/week,10,Moderate,Always,6,7,8,Never,Sometimes,3.6,5.2,4.1,8.4
USER_00044,Male,46-55,Singapore,Consultant,Bachelor Degree,Advanced,Perplexity,Business Analysis,4.23,Daily,15,Complex,Sometimes,8,7,6,Sometimes,Often,4.9,6.8,5.4,6.8
USER_00045,Female,55-65,UAE,Teacher,Master Degree,Intermediate,Grammarly,Work Tasks,1.87,1-2 times/week,3,Moderate,Often,4,8,8,Rarely,Rarely,3.9,2.9,4.1,8.3
USER_00046,Male,26-35,USA,Data Scientist,PhD,Expert,ChatGPT,Research,6.78,Daily,23,Very Complex,Always,6,9,7,Never,Daily,2.8,8.9,3.1,7.8
USER_00047,Female,36-45,Canada,Sales Representative,High School,Beginner,ChatGPT,Problem Solving,2.45,3-4 times/week,9,Simple,Sometimes,7,4,4,Often,Rarely,6.8,4.2,7.1,4.2
USER_00048,Male,18-25,UK,Student,Some College,Intermediate,Claude,Learning,3.56,Daily,7,Moderate,Sometimes,6,6,5,Sometimes,Sometimes,5.4,5.7,5.8,5.6
USER_00049,Female,25-35,Germany,Lawyer,Master Degree,Advanced,Claude,Research,3.21,5-6 times/week,12,Complex,Always,5,9,9,Never,Often,2.9,5.6,3.4,9.2
USER_00050,Male,46-55,Australia,Entrepreneur,Bachelor Degree,Expert,Multiple Tools,Business Analysis,5.43,Daily,18,Very Complex,Often,8,8,6,Sometimes,Daily,4.1,7.6,4.9,6.9
USER_00051,Female,55-65,India,Accountant,Professional Certification,Intermediate,Copilot,Work Tasks,2.12,1-2 times/week,4,Moderate,Often,5,6,7,Rarely,Sometimes,4.7,3.4,4.8,7.2
USER_00052,Male,26-35,France,Writer,Bachelor Degree,Advanced,Jasper,Content Creation,5.67,Daily,20,Complex,Sometimes,9,7,4,Sometimes,Often,5.1,8,6.2,4.6
USER_00053,Female,36-45,Japan,Project Manager,Master Degree,Intermediate,Notion AI,Work Tasks,3.89,5-6 times/week,14,Moderate,Often,6,8,6,Sometimes,Sometimes,4.2,6.2,4.5,6.7
USER_00054,Male,18-25,Brazil,Student,High School,Beginner,ChatGPT,Academic Work,2.98,Daily,5,Simple,Rarely,8,3,2,Often,Never,8.4,5.1,8.7,2.6
USER_00055,Female,46-55,Mexico,Designer,Bachelor Degree,Advanced,Midjourney,Creative Projects,4.12,Daily,16,Moderate,Often,8,6,5,Sometimes,Often,4.8,6.7,5.3,5.8
USER_00056,Male,55-65,South Korea,Doctor,PhD,Intermediate,ChatGPT,Research,1.76,3-4 times/week,8,Complex,Always,4,9,9,Never,Often,2.6,3.8,3.3,9.4
USER_00057,Female,26-35,Netherlands,Marketing Manager,Master Degree,Advanced,Copy.ai,Content Creation,4.45,5-6 times/week,17,Complex,Sometimes,7,7,6,Sometimes,Often,5,6.9,5.6,6.4
USER_00058,Male,36-45,Sweden,Engineer,Bachelor Degree,Expert,Copilot,Work Tasks,6.21,Daily,22,Very Complex,Often,8,8,7,Rarely,Daily,3.9,8.5,4.7,7.3
USER_00059,Female,18-25,Singapore,Student,Some College,Intermediate,Claude,Learning,3.34,Daily,9,Moderate,Sometimes,6,7,4,Sometimes,Sometimes,5.6,5.8,5.9,4.5
USER_00060,Male,25-35,UAE,Analyst,Bachelor Degree,Advanced,Perplexity,Research,4.67,Daily,15,Complex,Often,7,8,5,Rarely,Often,4.4,7.2,4.9,5.9
USER_00061,Female,46-55,USA,Teacher,Master Degree,Intermediate,Grammarly,Work Tasks,2.34,3-4 times/week,11,Moderate,Always,5,8,8,Never,Sometimes,3.5,4.1,3.8,8.1
USER_00062,Male,55-65,Canada,Consultant,Bachelor Degree,Advanced,Claude,Business Analysis,3.78,5-6 times/week,13,Complex,Sometimes,6,7,8,Sometimes,Often,4.7,6,5.2,8.4
USER_00063,Female,26-35,UK,Content Creator,Bachelor Degree,Advanced,DALL-E,Creative Projects,5.23,Daily,19,Complex,Often,9,6,4,Sometimes,Often,4.7,7.8,5.2,4.9
USER_00064,Male,36-45,Germany,Software Developer,Master Degree,Expert,Multiple Tools,Work Tasks,7.45,Daily,24,Very Complex,Often,8,9,6,Rarely,Daily,3.6,9.3,4.5,6.8
USER_00065,Female,18-25,Australia,Student,High School,Beginner,ChatGPT,Academic Work,2.87,Daily,6,Simple,Sometimes,7,4,3,Often,Rarely,6.9,5.3,7.4,3.2
USER_00066,Male,46-55,India,Lawyer,PhD,Advanced,Claude,Research,2.56,3-4 times/week,10,Complex,Always,4,9,9,Never,Often,2.8,4,3.1,9.3
USER_00067,Female,55-65,France,Accountant,Professional Certification,Intermediate,Copilot,Work Tasks,1.98,1-2 times/week,5,Moderate,Often,5,6,7,Rarely,Sometimes,4.6,3.1,4.6,7.4
USER_00068,Male,26-35,Japan,Data Scientist,Bachelor Degree,Expert,ChatGPT,Research,6.34,Daily,21,Very Complex,Often,7,8,6,Sometimes,Daily,3.8,8.7,4.3,6.7
USER_00069,Female,36-45,Brazil,Designer,Master Degree,Advanced,Midjourney,Creative Projects,4.56,Daily,16,Moderate,Sometimes,8,7,5,Sometimes,Often,4.9,7.1,5.5,5.5
USER_00070,Male,18-25,Mexico,Student,Some College,Intermediate,Claude,Learning,3.12,5-6 times/week,8,Moderate,Sometimes,6,6,4,Sometimes,Sometimes,5.7,5.4,6,4.6
USER_00071,Female,25-35,South Korea,Writer,Bachelor Degree,Advanced,Jasper,Content Creation,5.89,Daily,18,Complex,Often,9,7,4,Sometimes,Often,4.5,8.1,5.1,4.7
USER_00072,Male,46-55,Netherlands,Project Manager,Master Degree,Intermediate,Notion AI,Work Tasks,3.67,5-6 times/week,12,Moderate,Often,6,8,7,Sometimes,Sometimes,4.3,6,4.4,7.1
USER_00073,Female,55-65,Sweden,Doctor,PhD,Advanced,ChatGPT,Research,2.23,3-4 times/week,7,Complex,Always,4,9,9,Never,Often,2.7,3.9,3.2,9.1
USER_00074,Male,26-35,Singapore,Marketing Manager,Bachelor Degree,Advanced,Copy.ai,Content Creation,4.23,Daily,15,Complex,Sometimes,8,6,5,Sometimes,Often,5.2,6.8,5.7,5.6
USER_00075,Female,36-45,UAE,Engineer,Master Degree,Expert,Copilot,Work Tasks,5.78,Daily,20,Very Complex,Often,7,9,6,Rarely,Daily,3.7,8,4.1,6.9
USER_00076,Male,18-25,USA,Student,High School,Beginner,ChatGPT,Academic Work,2.76,Daily,4,Simple,Rarely,8,3,2,Often,Never,8.6,4.8,8.9,2.4
USER_00077,Female,46-55,Canada,Consultant,Bachelor Degree,Intermediate,Perplexity,Business Analysis,3.45,5-6 times/week,11,Complex,Sometimes,6,7,8,Sometimes,Often,4.8,5.9,5.3,8
USER_00078,Male,55-65,UK,Sales Representative,High School,Beginner,ChatGPT,Problem Solving,1.87,1-2 times/week,3,Simple,Sometimes,6,5,5,Often,Rarely,6.2,3,6.5,5.1
USER_00079,Female,26-35,Germany,Researcher,PhD,Expert,Claude,Research,5.34,Daily,23,Very Complex,Always,5,9,8,Never,Daily,2.5,7.6,2.9,8.7
USER_00080,Male,36-45,Australia,Entrepreneur,Bachelor Degree,Advanced,Multiple Tools,Business Analysis,6.12,Daily,19,Very Complex,Often,8,8,6,Sometimes,Daily,4,8.3,4.8,6.8
USER_00081,Female,18-25,India,Student,Some College,Intermediate,ChatGPT,Learning,3.21,Daily,7,Moderate,Sometimes,7,6,4,Sometimes,Sometimes,5.5,5.6,5.8,4.4
USER_00082,Male,25-35,France,Designer,Master Degree,Advanced,Midjourney,Creative Projects,4.78,Daily,17,Complex,Often,9,7,5,Sometimes,Often,4.6,7.3,5,5.3
USER_00083,Female,46-55,Japan,Teacher,Bachelor Degree,Intermediate,Grammarly,Work Tasks,2.45,3-4 times/week,9,Moderate,Always,5,8,7,Never,Sometimes,3.6,4.2,3.9,7.8
USER_00084,Male,55-65,Brazil,Accountant,Professional Certification,Intermediate,Copilot,Work Tasks,1.76,1-2 times/week,6,Moderate,Often,4,6,8,Rarely,Rarely,4.9,3.3,4.8,8.2
USER_00085,Female,26-35,Mexico,Data Scientist,PhD,Expert,ChatGPT,Research,6.45,Daily,22,Very Complex,Always,6,9,7,Never,Daily,2.9,8.8,3.2,7.9
USER_00086,Male,36-45,South Korea,Lawyer,Master Degree,Advanced,Claude,Research,3.12,5-6 times/week,14,Complex,Always,5,9,9,Never,Often,2.8,5.5,3.3,9.2
USER_00087,Female,18-25,Netherlands,Student,High School,Beginner,ChatGPT,Academic Work,2.98,Daily,5,Simple,Sometimes,8,4,3,Often,Rarely,7.2,5.2,7.6,3.1
USER_00088,Male,46-55,Sweden,Writer,Bachelor Degree,Advanced,Jasper,Content Creation,5.67,Daily,18,Complex,Sometimes,8,7,4,Sometimes,Often,4.9,7.9,5.8,4.8
USER_00089,Female,55-65,Singapore,Project Manager,Master Degree,Intermediate,Notion AI,Work Tasks,2.34,3-4 times/week,8,Moderate,Often,5,8,8,Sometimes,Sometimes,4.1,4,4.3,8.3
USER_00090,Male,26-35,UAE,Content Creator,Bachelor Degree,Advanced,DALL-E,Creative Projects,5.23,Daily,16,Complex,Often,9,6,4,Sometimes,Often,4.8,7.7,5.3,4.9
USER_00091,Female,36-45,USA,Marketing Manager,Master Degree,Intermediate,Copy.ai,Content Creation,4.12,5-6 times/week,13,Complex,Sometimes,7,7,6,Sometimes,Often,5.1,6.6,5.6,6.3
USER_00092,Male,18-25,Canada,Student,Some College,Intermediate,Claude,Learning,3.45,Daily,9,Moderate,Sometimes,6,7,5,Sometimes,Sometimes,5.3,5.9,5.7,5.2
USER_00093,Female,25-35,UK,Engineer,Bachelor Degree,Expert,Copilot,Work Tasks,6.78,Daily,21,Very Complex,Often,8,8,6,Rarely,Daily,3.8,9,4.6,6.7
USER_00094,Male,46-55,Germany,Consultant,PhD,Advanced,Perplexity,Business Analysis,3.89,5-6 times/week,12,Complex,Sometimes,6,8,8,Sometimes,Often,4.5,6.1,4.9,8.1
USER_00095,Female,55-65,Australia,Doctor,Master Degree,Intermediate,ChatGPT,Research,2.12,3-4 times/week,6,Complex,Always,4,9,9,Never,Often,2.9,3.6,3.4,9
USER_00096,Male,26-35,India,Analyst,Bachelor Degree,Advanced,Multiple Tools,Research,4.56,Daily,15,Complex,Often,7,8,5,Rarely,Often,4.2,7.1,4.7,5.8
USER_00097,Female,36-45,France,Designer,Master Degree,Advanced,Midjourney,Creative Projects,4.34,Daily,17,Moderate,Often,8,6,5,Sometimes,Often,4.7,6.9,5.2,5.4
USER_00098,Male,18-25,Japan,Student,High School,Beginner,ChatGPT,Academic Work,2.67,Daily,4,Simple,Rarely,9,2,1,Often,Never,9.4,4.6,9.6,1.6
USER_00099,Female,46-55,Brazil,Teacher,Bachelor Degree,Intermediate,Grammarly,Work Tasks,2.78,3-4 times/week,10,Moderate,Always,5,8,7,Never,Sometimes,3.7,4.3,4,7.9
USER_00100,Male,55-65,Mexico,Sales Representative,High School,Beginner,ChatGPT,Problem Solving,1.98,1-2 times/week,7,Simple,Sometimes,6,4,4,Often,Rarely,6.5,3.2,6.8,4.3
USER_00101,Female,26-35,South Korea,Data Scientist,Master Degree,Expert,ChatGPT,Work Tasks,6.89,Daily,20,Very Complex,Often,8,9,7,Rarely,Daily,3.5,9.2,4.3,7.6
USER_00102,Male,36-45,Netherlands,Marketing Manager,Bachelor Degree,Advanced,Copy.ai,Content Creation,4.56,5-6 times/week,16,Complex,Sometimes,7,7,5,Sometimes,Often,5.2,7,5.8,5.7
USER_00103,Female,18-25,Sweden,Student,Some College,Intermediate,Claude,Learning,3.23,Daily,8,Moderate,Sometimes,6,6,8,Sometimes,Sometimes,5.4,5.8,5.9,7.8
USER_00104,Male,46-55,Singapore,Engineer,PhD,Expert,Copilot,Work Tasks,5.12,Daily,18,Very Complex,Often,7,9,6,Rarely,Daily,3.9,7.8,4.4,6.9
USER_00105,Female,55-65,UAE,Teacher,Master Degree,Intermediate,Grammarly,Work Tasks,2.01,1-2 times/week,5,Moderate,Often,4,8,9,Never,Rarely,4.2,3.1,4,8.7
USER_00106,Male,26-35,USA,Writer,Bachelor Degree,Advanced,Jasper,Content Creation,5.78,Daily,19,Complex,Sometimes,9,7,4,Sometimes,Often,4.7,8.1,5.9,4.8
USER_00107,Female,36-45,Canada,Consultant,Master Degree,Advanced,Perplexity,Business Analysis,3.67,5-6 times/week,13,Complex,Sometimes,6,8,8,Sometimes,Often,4.8,6,5.1,8.3
USER_00108,Male,18-25,UK,Student,High School,Beginner,ChatGPT,Academic Work,2.89,Daily,6,Simple,Rarely,8,3,2,Often,Never,8.3,5,8.5,2.7
USER_00109,Female,25-35,Germany,Designer,Bachelor Degree,Advanced,Midjourney,Creative Projects,4.45,Daily,15,Moderate,Often,8,6,5,Sometimes,Often,4.9,7.1,5.4,5.6
USER_00110,Male,46-55,Australia,Lawyer,PhD,Advanced,Claude,Research,2.78,3-4 times/week,11,Complex,Always,5,9,9,Never,Often,2.9,4.5,3.4,9.1
USER_00111,Female,55-65,India,Accountant,Professional Certification,Intermediate,Copilot,Work Tasks,1.89,1-2 times/week,4,Moderate,Often,5,6,7,Rarely,Sometimes,4.6,3.3,4.7,7.4
